im kurupted,G11111
lilbailey28,Here im fletching
wide girthy,Ty For Being Giving. Here Ya Go ;)
ZiIoIogy,Plis 100k
Hadezboi,Why ty
wide girthy,Np
wide girthy,U Neve Know
wide girthy,Never Know
ZiIoIogy,Plis 100k
wide girthy,Who Ur Giving Too
Hadezboi,50k closer to ancest hat
lilbailey28,Should fletch for money
wide girthy,Trade Me Lol
imagine f2p,Some dumb fuck in a cape of skulls
Niko604,                                                                                
imagine f2p,:^)
wide girthy,Kid
Niko604,Whatd he give you lol
wide girthy,50M 
ZiIoIogy,Please 100k some1 rich
Hadezboi,Okg
Niko604,Yeah ok
Hesseux69,Look i have a golden chain
JohnnyxDepp,Huh
lilbailey28,For real fletch good money
Hesseux69,And a beast hat
wide girthy,Need Coins; Lost Bank.
Hadezboi,I could so buy my ancest hat
Arjux,Y'all need to go back to lumbridge with the other piss stained goblin bois
JohnnyxDepp,Forgot how
wide girthy,Need Coins; Lost Bank. Anything Helps! New Member!
Floor Hockey,Lmao
lilbailey28,Hatchet knife
Hesseux69,How much ur buying ur ancestral
lilbailey28,Chop. Slice
lilbailey28,Sell
Hadezboi,14m cash
wide girthy,Ty Sir.
Floor Hockey,Put away that dwh then
wide girthy,Wow
lilbailey28,No strings until higher lvls
wide girthy,Thank You Man
Hesseux69,Ok well this hat is 100 times better than ancestral
Niko604,Np
Niko604,Enjoy
MOMS LUV ME,I sell sandwiches.
Hesseux69,Il give it to u to half price
Hesseux69,7M
Wyverns A1t,Can anybody help me get a bond please 
MOMS LUV ME,They're all crushed.
Floor Hockey,Niko u serious
Hesseux69,X D
wide girthy,Ty For The Donations.
JamesMister,Hi guys
wide girthy,I Needed Them.
Floor Hockey,Dragon warhammer!!!!
wide girthy,Floor Hockey
JamesMister,Donations?
Mydadsneck,Can i have it abck now lolol
wide girthy,"Chill Out, Im New."
MOMS LUV ME,Who wants a crushed sandwich...
Niko604,Im just a givving person 
Niko604,Idc if he scams
JamesMister,Me too
wide girthy,Im Not Scamming
wide girthy,Im New.
JamesMister,How did he scam
wide girthy,I Need Coins.
Niko604,You cant 
Niko604,I gave him coins
Niko604,Thats it
wide girthy,I Need Coins Man]
83Lunar505,Ers win 200m each Search on youtube Tox525 To Win3884
Mydadsneck,50k aint scamming lol
JamesMister,How much
Hadezboi,Hope it helps
wide girthy,I Lost My Bank
83Lunar505,Rewarding players 200m Search on youtube Tox525 Massive giveaway ! 559
Floor Hockey,This guy obviusly doesnt have skills to buy the warhammer
Wyverns A1t,Add me stil l like 1.2m off but once i get to wyverns
83Lunar505,Next 15 players win 200m each Search on youtube Tox525 To Win7114
Wyverns A1t,Ill get u back i promise
Floor Hockey,Def just bought it irl
hempel91,I hear you can win 200m from going to youtube lol
83Lunar505,Giveaway Ends today! Search on youtube Tox525 to win 200m ! 4955
wide girthy,Ty For The Coins Man
Hesseux69,My hat is way better than an anscestral hat
ZiIoIogy,Please 100k :(
Hadezboi,Inknow
lilbailey28,Naw friend helped me rebuild
Hesseux69,Its really powerfull
ZiIoIogy,Please 100k :(
wide girthy,Need Ocins
Hesseux69,And it protect u from demons
wide girthy,Need Coins
lilbailey28,Went from 80 mil to 5
wide girthy,Trade Me
LeChocoTaco,Report zilology his account is probably stolen
ZiIoIogy,Please 100k
ZiIoIogy,Plis 100k
lilbailey28,Here im fletching
wide girthy,Ty For Being Giving. Here Ya Go ;)
ZiIoIogy,Plis 100k
Hadezboi,Why ty
wide girthy,Np
wide girthy,U Neve Know
wide girthy,Never Know
ZiIoIogy,Plis 100k
wide girthy,Who Ur Giving Too
Hadezboi,50k closer to ancest hat
lilbailey28,Should fletch for money
wide girthy,Trade Me Lol
imagine f2p,Some dumb fuck in a cape of skulls
Niko604,                                                                                
imagine f2p,:^)
wide girthy,Kid
Niko604,Whatd he give you lol
wide girthy,50M 
ZiIoIogy,Please 100k some1 rich
Hadezboi,Okg
Niko604,Yeah ok
Hesseux69,Look i have a golden chain
JohnnyxDepp,Huh
lilbailey28,For real fletch good money
Hesseux69,And a beast hat
wide girthy,Need Coins; Lost Bank.
Hadezboi,I could so buy my ancest hat
Arjux,Y'all need to go back to lumbridge with the other piss stained goblin bois
JohnnyxDepp,Forgot how
wide girthy,Need Coins; Lost Bank. Anything Helps! New Member!
Floor Hockey,Lmao
lilbailey28,Hatchet knife
Hesseux69,How much ur buying ur ancestral
lilbailey28,Chop. Slice
lilbailey28,Sell
Hadezboi,14m cash
wide girthy,Ty Sir.
Floor Hockey,Put away that dwh then
wide girthy,Wow
lilbailey28,No strings until higher lvls
wide girthy,Thank You Man
Hesseux69,Ok well this hat is 100 times better than ancestral
Niko604,Np
Niko604,Enjoy
MOMS LUV ME,I sell sandwiches.
Hesseux69,Il give it to u to half price
Hesseux69,7M
Wyverns A1t,Can anybody help me get a bond please 
MOMS LUV ME,They're all crushed.
Floor Hockey,Niko u serious
Hesseux69,X D
wide girthy,Ty For The Donations.
JamesMister,Hi guys
wide girthy,I Needed Them.
Floor Hockey,Dragon warhammer!!!!
wide girthy,Floor Hockey
JamesMister,Donations?
Mydadsneck,Can i have it abck now lolol
wide girthy,"Chill Out, Im New."
MOMS LUV ME,Who wants a crushed sandwich...
Niko604,Im just a givving person 
Niko604,Idc if he scams
JamesMister,Me too
wide girthy,Im Not Scamming
wide girthy,Im New.
JamesMister,How did he scam
wide girthy,I Need Coins.
Niko604,You cant 
Niko604,I gave him coins
Niko604,Thats it
wide girthy,I Need Coins Man]
83Lunar505,Ers win 200m each Search on youtube Tox525 To Win3884
Mydadsneck,50k aint scamming lol
JamesMister,How much
Hadezboi,Hope it helps
wide girthy,I Lost My Bank
83Lunar505,Rewarding players 200m Search on youtube Tox525 Massive giveaway ! 559
Floor Hockey,This guy obviusly doesnt have skills to buy the warhammer
Wyverns A1t,Add me stil l like 1.2m off but once i get to wyverns
83Lunar505,Next 15 players win 200m each Search on youtube Tox525 To Win7114
Wyverns A1t,Ill get u back i promise
Floor Hockey,Def just bought it irl
hempel91,I hear you can win 200m from going to youtube lol
83Lunar505,Giveaway Ends today! Search on youtube Tox525 to win 200m ! 4955
wide girthy,Ty For The Coins Man
BlipsNdChitz,In 200m each Search on youtube Tox525 To Win9509
BlipsNdChitz,Rewarding players 200m Search on youtube Tox525 Massive giveaway ! 959
BlipsNdChitz,Next 15 players win 200m each Search on youtube Tox525 To Win3600
BlipsNdChitz,Giveaway Ends today! Search on youtube Tox525 to win 200m ! 2628
BlipsNdChitz,Next 15 players win 200m each Search on youtube Tox525 To Win7476
BlipsNdChitz,Rewarding players 200m Search on youtube Tox525 Massive giveaway ! 570
BlipsNdChitz,Next 15 players win 200m each Search on youtube Tox525 To Win4298
BlipsNdChitz,Giveaway Ends today! Search on youtube Tox525 to win 200m ! 5805
BlipsNdChitz,Next 15 players win 200m each Search on youtube Tox525 To Win7589
BlipsNdChitz,Rewarding players 200m Search on youtube Tox525 Massive giveaway ! 679
BlipsNdChitz,Next 15 players win 200m each Search on youtube Tox525 To Win7861
BlipsNdChitz,Giveaway Ends today! Search on youtube Tox525 to win 200m ! 498
xXJHARTXx,Death runes plz
StephanCurry,Nice strategy
BlipsNdChitz,Next 15 players win 200m each Search on youtube Tox525 To Win4084
xXJHARTXx,:)
StephanCurry,Sarcasm
BlipsNdChitz,Rewarding players 200m Search on youtube Tox525 Massive giveaway ! 751
xXJHARTXx,Cmon hook it up
BlipsNdChitz,Next 15 players win 200m each Search on youtube Tox525 To Win1190
StephanCurry,Go away peasant
BlipsNdChitz,Giveaway Ends today! Search on youtube Tox525 to win 200m ! 3690
xXJHARTXx,Says the greedy scwab
lilbailey28,Should fletch for money
wide girthy,Trade Me Lol
imagine f2p,Some dumb fuck in a cape of skulls
Niko604,                                                                                
imagine f2p,:^)
wide girthy,Kid
Niko604,Whatd he give you lol
wide girthy,50M 
ZiIoIogy,Please 100k some1 rich
Hadezboi,Okg
Niko604,Yeah ok
Hesseux69,Look i have a golden chain
JohnnyxDepp,Huh
lilbailey28,For real fletch good money
Hesseux69,And a beast hat
wide girthy,Need Coins; Lost Bank.
Hadezboi,I could so buy my ancest hat
Arjux,Y'all need to go back to lumbridge with the other piss stained goblin bois
JohnnyxDepp,Forgot how
wide girthy,Need Coins; Lost Bank. Anything Helps! New Member!
Floor Hockey,Lmao
lilbailey28,Hatchet knife
Hesseux69,How much ur buying ur ancestral
lilbailey28,Chop. Slice
lilbailey28,Sell
Hadezboi,14m cash
wide girthy,Ty Sir.
Floor Hockey,Put away that dwh then
wide girthy,Wow
lilbailey28,No strings until higher lvls
wide girthy,Thank You Man
Hesseux69,Ok well this hat is 100 times better than ancestral
Niko604,Np
Niko604,Enjoy
MOMS LUV ME,I sell sandwiches.
Hesseux69,Il give it to u to half price
Hesseux69,7M
Wyverns A1t,Can anybody help me get a bond please 
MOMS LUV ME,They're all crushed.
Floor Hockey,Niko u serious
Hesseux69,X D
wide girthy,Ty For The Donations.
JamesMister,Hi guys
wide girthy,I Needed Them.
Floor Hockey,Dragon warhammer!!!!
wide girthy,Floor Hockey
JamesMister,Donations?
Mydadsneck,Can i have it abck now lolol
wide girthy,"Chill Out, Im New."
MOMS LUV ME,Who wants a crushed sandwich...
Niko604,Im just a givving person 
Niko604,Idc if he scams
JamesMister,Me too
wide girthy,Im Not Scamming
wide girthy,Im New.
JamesMister,How did he scam
wide girthy,I Need Coins.
Niko604,You cant 
Niko604,I gave him coins
Niko604,Thats it
wide girthy,I Need Coins Man]
83Lunar505,Ers win 200m each Search on youtube Tox525 To Win3884
Mydadsneck,50k aint scamming lol
JamesMister,How much
Hadezboi,Hope it helps
wide girthy,I Lost My Bank
83Lunar505,Rewarding players 200m Search on youtube Tox525 Massive giveaway ! 559
Floor Hockey,This guy obviusly doesnt have skills to buy the warhammer
Wyverns A1t,Add me stil l like 1.2m off but once i get to wyverns
83Lunar505,Next 15 players win 200m each Search on youtube Tox525 To Win7114
Wyverns A1t,Ill get u back i promise
Floor Hockey,Def just bought it irl
hempel91,I hear you can win 200m from going to youtube lol
83Lunar505,Giveaway Ends today! Search on youtube Tox525 to win 200m ! 4955
wide girthy,Ty For The Coins Man
BlipsNdChitz,In 200m each Search on youtube Tox525 To Win9509
BlipsNdChitz,Rewarding players 200m Search on youtube Tox525 Massive giveaway ! 959
BlipsNdChitz,Next 15 players win 200m each Search on youtube Tox525 To Win3600
BlipsNdChitz,Giveaway Ends today! Search on youtube Tox525 to win 200m ! 2628
BlipsNdChitz,Next 15 players win 200m each Search on youtube Tox525 To Win7476
BlipsNdChitz,Rewarding players 200m Search on youtube Tox525 Massive giveaway ! 570
BlipsNdChitz,Next 15 players win 200m each Search on youtube Tox525 To Win4298
BlipsNdChitz,Giveaway Ends today! Search on youtube Tox525 to win 200m ! 5805
BlipsNdChitz,Next 15 players win 200m each Search on youtube Tox525 To Win7589
BlipsNdChitz,Rewarding players 200m Search on youtube Tox525 Massive giveaway ! 679
BlipsNdChitz,Next 15 players win 200m each Search on youtube Tox525 To Win7861
BlipsNdChitz,Giveaway Ends today! Search on youtube Tox525 to win 200m ! 498
xXJHARTXx,Death runes plz
StephanCurry,Nice strategy
BlipsNdChitz,Next 15 players win 200m each Search on youtube Tox525 To Win4084
xXJHARTXx,:)
StephanCurry,Sarcasm
BlipsNdChitz,Rewarding players 200m Search on youtube Tox525 Massive giveaway ! 751
xXJHARTXx,Cmon hook it up
BlipsNdChitz,Next 15 players win 200m each Search on youtube Tox525 To Win1190
StephanCurry,Go away peasant
BlipsNdChitz,Giveaway Ends today! Search on youtube Tox525 to win 200m ! 3690
xXJHARTXx,Says the greedy scwab
RAWorRIZZ,Well hello sir
RAWorRIZZ,Ash?
A S H UK,Hello
RAWorRIZZ,How are you my man?
A S H UK,Good you
RAWorRIZZ,Not too bad man how the magic grind?
The v0t Chic,Merlin's beard!
A S H UK,Nah just mijibg and smithing atm
A S H UK,Lol
RAWorRIZZ,Your set up looks good with cooking Cape man
RAWorRIZZ,But would be better with magic ;)
A S H UK,Thx tink
TinkerBellPT,:)
A S H UK,Thanks lol
A S H UK,Yeh i cba to alch atm lol
The v0t Chic,Ew alch
xetflin,5 players win 200m each Search on youtube Tox525 To Win360
RAWorRIZZ,I've been stun alching on my pure
RAWorRIZZ,My wrist hurst
xetflin,Rewarding players 200m Search on youtube Tox525 Massive giveaway ! 613
RAWorRIZZ,Hurt*
xetflin,Next 15 players win 200m each Search on youtube Tox525 To Win5936
xetflin,Giveaway Ends today! Search on youtube Tox525 to win 200m ! 6096
lilbailey28,Sell
Hadezboi,14m cash
wide girthy,Ty Sir.
Floor Hockey,Put away that dwh then
wide girthy,Wow
lilbailey28,No strings until higher lvls
wide girthy,Thank You Man
Hesseux69,Ok well this hat is 100 times better than ancestral
Niko604,Np
Niko604,Enjoy
MOMS LUV ME,I sell sandwiches.
Hesseux69,Il give it to u to half price
Hesseux69,7M
Wyverns A1t,Can anybody help me get a bond please 
MOMS LUV ME,They're all crushed.
Floor Hockey,Niko u serious
Hesseux69,X D
wide girthy,Ty For The Donations.
JamesMister,Hi guys
wide girthy,I Needed Them.
Floor Hockey,Dragon warhammer!!!!
wide girthy,Floor Hockey
JamesMister,Donations?
Mydadsneck,Can i have it abck now lolol
wide girthy,"Chill Out, Im New."
MOMS LUV ME,Who wants a crushed sandwich...
Niko604,Im just a givving person 
Niko604,Idc if he scams
JamesMister,Me too
wide girthy,Im Not Scamming
wide girthy,Im New.
JamesMister,How did he scam
wide girthy,I Need Coins.
Niko604,You cant 
Niko604,I gave him coins
Niko604,Thats it
wide girthy,I Need Coins Man]
83Lunar505,Ers win 200m each Search on youtube Tox525 To Win3884
Mydadsneck,50k aint scamming lol
JamesMister,How much
Hadezboi,Hope it helps
wide girthy,I Lost My Bank
83Lunar505,Rewarding players 200m Search on youtube Tox525 Massive giveaway ! 559
Floor Hockey,This guy obviusly doesnt have skills to buy the warhammer
Wyverns A1t,Add me stil l like 1.2m off but once i get to wyverns
83Lunar505,Next 15 players win 200m each Search on youtube Tox525 To Win7114
Wyverns A1t,Ill get u back i promise
Floor Hockey,Def just bought it irl
hempel91,I hear you can win 200m from going to youtube lol
83Lunar505,Giveaway Ends today! Search on youtube Tox525 to win 200m ! 4955
wide girthy,Ty For The Coins Man
BlipsNdChitz,In 200m each Search on youtube Tox525 To Win9509
BlipsNdChitz,Rewarding players 200m Search on youtube Tox525 Massive giveaway ! 959
BlipsNdChitz,Next 15 players win 200m each Search on youtube Tox525 To Win3600
BlipsNdChitz,Giveaway Ends today! Search on youtube Tox525 to win 200m ! 2628
BlipsNdChitz,Next 15 players win 200m each Search on youtube Tox525 To Win7476
BlipsNdChitz,Rewarding players 200m Search on youtube Tox525 Massive giveaway ! 570
BlipsNdChitz,Next 15 players win 200m each Search on youtube Tox525 To Win4298
BlipsNdChitz,Giveaway Ends today! Search on youtube Tox525 to win 200m ! 5805
BlipsNdChitz,Next 15 players win 200m each Search on youtube Tox525 To Win7589
BlipsNdChitz,Rewarding players 200m Search on youtube Tox525 Massive giveaway ! 679
BlipsNdChitz,Next 15 players win 200m each Search on youtube Tox525 To Win7861
BlipsNdChitz,Giveaway Ends today! Search on youtube Tox525 to win 200m ! 498
xXJHARTXx,Death runes plz
StephanCurry,Nice strategy
BlipsNdChitz,Next 15 players win 200m each Search on youtube Tox525 To Win4084
xXJHARTXx,:)
StephanCurry,Sarcasm
BlipsNdChitz,Rewarding players 200m Search on youtube Tox525 Massive giveaway ! 751
xXJHARTXx,Cmon hook it up
BlipsNdChitz,Next 15 players win 200m each Search on youtube Tox525 To Win1190
StephanCurry,Go away peasant
BlipsNdChitz,Giveaway Ends today! Search on youtube Tox525 to win 200m ! 3690
xXJHARTXx,Says the greedy scwab
RAWorRIZZ,Well hello sir
RAWorRIZZ,Ash?
A S H UK,Hello
RAWorRIZZ,How are you my man?
A S H UK,Good you
RAWorRIZZ,Not too bad man how the magic grind?
The v0t Chic,Merlin's beard!
A S H UK,Nah just mijibg and smithing atm
A S H UK,Lol
RAWorRIZZ,Your set up looks good with cooking Cape man
RAWorRIZZ,But would be better with magic ;)
A S H UK,Thx tink
TinkerBellPT,:)
A S H UK,Thanks lol
A S H UK,Yeh i cba to alch atm lol
The v0t Chic,Ew alch
xetflin,5 players win 200m each Search on youtube Tox525 To Win360
RAWorRIZZ,I've been stun alching on my pure
RAWorRIZZ,My wrist hurst
xetflin,Rewarding players 200m Search on youtube Tox525 Massive giveaway ! 613
RAWorRIZZ,Hurt*
xetflin,Next 15 players win 200m each Search on youtube Tox525 To Win5936
xetflin,Giveaway Ends today! Search on youtube Tox525 to win 200m ! 6096
iTANK 0o,Trade me after posting your nickname on the forum for 50m !!!
MHEATON,Right im off catch laters
Ryan5777,You got bcp?
Ryan5777,Later mate
iTANK 0o,Search Munk23 on Faceb00k to participate in a massive 2.1B giveaway!
iTANK 0o,Hurry up before all of the gold is given away !!!
iTANK 0o,"Massive 2.1b giveaway happening right now, search Munk23 on Faceb00k!"
iTANK 0o,Trade me after posting your nickname on the forum for 50m !!!
iTANK 0o,Search Munk23 on Faceb00k to participate in a massive 2.1B giveaway!
iTANK 0o,Hurry up before all of the gold is given away !!!
Hesseux69,Il give it to u to half price
Hesseux69,7M
Wyverns A1t,Can anybody help me get a bond please 
MOMS LUV ME,They're all crushed.
Floor Hockey,Niko u serious
Hesseux69,X D
wide girthy,Ty For The Donations.
JamesMister,Hi guys
wide girthy,I Needed Them.
Floor Hockey,Dragon warhammer!!!!
wide girthy,Floor Hockey
JamesMister,Donations?
Mydadsneck,Can i have it abck now lolol
wide girthy,"Chill Out, Im New."
MOMS LUV ME,Who wants a crushed sandwich...
Niko604,Im just a givving person 
Niko604,Idc if he scams
JamesMister,Me too
wide girthy,Im Not Scamming
wide girthy,Im New.
JamesMister,How did he scam
wide girthy,I Need Coins.
Niko604,You cant 
Niko604,I gave him coins
Niko604,Thats it
wide girthy,I Need Coins Man]
83Lunar505,Ers win 200m each Search on youtube Tox525 To Win3884
Mydadsneck,50k aint scamming lol
JamesMister,How much
Hadezboi,Hope it helps
wide girthy,I Lost My Bank
83Lunar505,Rewarding players 200m Search on youtube Tox525 Massive giveaway ! 559
Floor Hockey,This guy obviusly doesnt have skills to buy the warhammer
Wyverns A1t,Add me stil l like 1.2m off but once i get to wyverns
83Lunar505,Next 15 players win 200m each Search on youtube Tox525 To Win7114
Wyverns A1t,Ill get u back i promise
Floor Hockey,Def just bought it irl
hempel91,I hear you can win 200m from going to youtube lol
83Lunar505,Giveaway Ends today! Search on youtube Tox525 to win 200m ! 4955
wide girthy,Ty For The Coins Man
BlipsNdChitz,In 200m each Search on youtube Tox525 To Win9509
BlipsNdChitz,Rewarding players 200m Search on youtube Tox525 Massive giveaway ! 959
BlipsNdChitz,Next 15 players win 200m each Search on youtube Tox525 To Win3600
BlipsNdChitz,Giveaway Ends today! Search on youtube Tox525 to win 200m ! 2628
BlipsNdChitz,Next 15 players win 200m each Search on youtube Tox525 To Win7476
BlipsNdChitz,Rewarding players 200m Search on youtube Tox525 Massive giveaway ! 570
BlipsNdChitz,Next 15 players win 200m each Search on youtube Tox525 To Win4298
BlipsNdChitz,Giveaway Ends today! Search on youtube Tox525 to win 200m ! 5805
BlipsNdChitz,Next 15 players win 200m each Search on youtube Tox525 To Win7589
BlipsNdChitz,Rewarding players 200m Search on youtube Tox525 Massive giveaway ! 679
